Date Submitted,Workout Date,Activity Type,Calories Burned (kCal),Distance (km),Workout Time (seconds),Avg Pace (min/km),Max Pace (min/km),Avg Speed (km/h),Max Speed (km/h),Avg Heart Rate,Steps,Notes,Source,Link
"Nov. 18, 2020","June 21, 2020",Run,454,5.4055450944,2025,6.243599876719955,3.39762661059413,9.609859733759999,17.659331712,,5453,b'',Endomondo ,http://www.mapmyfitness.com/workout/4978437091
"Nov. 18, 2020","June 19, 2020",Indoor Sport / Other Activity,134,0,1539,0,0,0,0,,,b'',Endomondo ,http://www.mapmyfitness.com/workout/4978437328
"Nov. 18, 2020","June 19, 2020",Run,422,5.05657494144,1839,6.061407629444046,2.7703399646066966,9.89868870144,21.6580687488,,4968,b'',Endomondo ,http://www.mapmyfitness.com/workout/4978437250
"Nov. 18, 2020","June 15, 2020",Generic,607,13.704867728640002,3091,3.759003668575519,1.7281824146981626,15.961666913279998,34.7185390464,,,b'',Endomondo ,http://www.mapmyfitness.com/workout/4978437430
"Nov. 18, 2020","June 12, 2020",Generic,593,13.348349752320003,2992,3.735795454545454,1.8259365306609399,16.060834690559997,32.8599076608,,,b'',Endomondo ,http://www.mapmyfitness.com/workout/4978437607
"Nov. 18, 2020","June 10, 2020",Indoor Sport / Other Activity,92,0,1055,0,0,0,0,,,b'',Endomondo ,http://www.mapmyfitness.com/workout/4978437901
"Nov. 18, 2020","June 10, 2020",Run,500,5.95045287936,2231,6.248819394734749,3.148879294917681,9.60181301376,19.0544720256,,6007,b'',Endomondo ,http://www.mapmyfitness.com/workout/4978437772
"Nov. 18, 2020","June 1, 2020",Indoor Sport / Other Activity,102,0,1168,0,0,0,0,,,b'',Endomondo ,http://www.mapmyfitness.com/workout/4978438159
"Nov. 18, 2020","June 1, 2020",Run,655,7.96943930112,2744,5.738586653940985,2.6282013043824066,10.455537818879998,22.829349311999998,,7461,b'',Endomondo ,http://www.mapmyfitness.com/workout/4978438036
"Nov. 18, 2020","May 15, 2020",Indoor Sport / Other Activity,111,0,1267,0,0,0,0,,,b'',Endomondo ,http://www.mapmyfitness.com/workout/4978438285
"Nov. 18, 2020","May 12, 2020",Class Workout,216,0,1571,0,0,0,0,,,b'',Endomondo ,http://www.mapmyfitness.com/workout/4978438363
