,id,name,img,link,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,author,album,whose
48,4DrtYYESjgia8ejjJxC4qn,ul. Pierwszego kontaktu,https://i.scdn.co/image/ab67616d00001e0246c6461cf9c20a0a8c775ecb,https://p.scdn.co/mp3-preview/6e18921a37637c63e6570c16f985aff2d4dd70f5?cid=774b29d4f13844c495f206cafdad9c86,0.486,0.939,-3.91,0.198,0.024,0.000561,0.179,0.253,89.917,280493.0,TAU,Egzegeza: Księga pszczół,p
49,07eId0IoY8PbfsnpJXNHeb,Psalm 126,https://i.scdn.co/image/ab67616d00001e0279defd04d1d8d15a70816b08,https://p.scdn.co/mp3-preview/eab67ac10a0ecb4f4db4a60dd9c83ee9a631ab8d?cid=774b29d4f13844c495f206cafdad9c86,0.681,0.693,-5.668,0.0292,0.0933,0.0,0.0838,0.394,129.956,255973.0,niemaGOtu,Niemagotu,p
50,1uiHHMCiLwexkXS4nfVhYl,Wszystko O Czym Śnię,https://i.scdn.co/image/ab67616d00001e024545962743e846a8095743f0,https://p.scdn.co/mp3-preview/d122804b65f2e9d7cec9969422f7ce27e95b920e?cid=774b29d4f13844c495f206cafdad9c86,0.505,0.687,-7.716,0.0434,0.0165,0.0,0.111,0.292,167.979,252240.0,Małpa,Blur,p
51,245V1vcHJKzoqWk7zmJs1s,"Sing, sing - Live",https://i.scdn.co/image/ab67616d00001e0226f88aaba42aca79e8eccf89,https://p.scdn.co/mp3-preview/7bcedfbd1e6d225ebd776f33aa4d19d09a14c51b?cid=774b29d4f13844c495f206cafdad9c86,0.632,0.775,-5.74,0.0282,0.0104,9.67e-05,0.84,0.299,123.377,254557.0,Various Artists,Męskie Granie 2019,p
52,7yKNpW0QwuIFJFdDoydEo4,ul. Pamięci,https://i.scdn.co/image/ab67616d00001e0246c6461cf9c20a0a8c775ecb,https://p.scdn.co/mp3-preview/581aab6b1eae1f3c0afa46dcb413304d43858d44?cid=774b29d4f13844c495f206cafdad9c86,0.603,0.89,-5.258,0.4,0.239,0.0,0.4,0.556,181.916,267040.0,TAU,Egzegeza: Księga pszczół,p
53,1qZxIt502meo1PTdH4YRoB,"Panie, gdy tonę",https://i.scdn.co/image/ab67616d00001e0279defd04d1d8d15a70816b08,https://p.scdn.co/mp3-preview/c8e720e8e26bcf1ca7bcd18fc06fb0bc9a04ac18?cid=774b29d4f13844c495f206cafdad9c86,0.448,0.564,-8.246,0.0409,0.232,0.0,0.433,0.216,104.034,250653.0,niemaGOtu,Niemagotu,p
54,6dA86DSVmqQGOR7LuGCkn1,Nomada,https://i.scdn.co/image/ab67616d00001e02176c6ac2acb07d66166bf715,https://p.scdn.co/mp3-preview/69df37b86c20da9e8c3100c41184613003ffeeaa?cid=774b29d4f13844c495f206cafdad9c86,0.654,0.89,-7.775,0.0851,0.56,0.0,0.0537,0.35,129.98,247013.0,Zeus,Zeus. Jest super.,p
55,6rz2HZ0GOoWUUzg46fygvg,Długość dźwięku samotności - Live,https://i.scdn.co/image/ab67616d00001e0226f88aaba42aca79e8eccf89,https://p.scdn.co/mp3-preview/9c5625c1c4cfc83450dcfdf18b3302f54e914cc4?cid=774b29d4f13844c495f206cafdad9c86,0.48,0.726,-5.416,0.0263,0.00173,0.000235,0.771,0.272,97.588,244974.0,Various Artists,Męskie Granie 2019,p
56,5g0rfAIf37X2D0iHxwYWod,Nie Pytaj O Polskę,https://i.scdn.co/image/ab67616d00001e02e32295c3b09ad7d007b6c8b8,,0.4,0.644,-4.278,0.0467,0.438,1.56e-05,0.0865,0.113,124.914,243600.0,Tulia,Tulia (Deluxe Edition),p
57,7LA3Dizhbd7iMsB9Xi8RCO,Nie mądrość świata tego (Marana Tha),https://i.scdn.co/image/ab67616d00001e0279defd04d1d8d15a70816b08,https://p.scdn.co/mp3-preview/d6feb50465d1afe0ba4c1277b13cb0aa87a25080?cid=774b29d4f13844c495f206cafdad9c86,0.66,0.693,-5.113,0.028,0.106,0.0,0.227,0.408,130.024,247853.0,niemaGOtu,Niemagotu,p
58,58IbVYgKeDhJEW0U6sLc6F,ul. Jądra ciemności,https://i.scdn.co/image/ab67616d00001e0246c6461cf9c20a0a8c775ecb,https://p.scdn.co/mp3-preview/3915ec0da90e4aa239c67a013b9dfa3961efd2f9?cid=774b29d4f13844c495f206cafdad9c86,0.646,0.899,-3.706,0.261,0.0802,0.0,0.0886,0.513,92.245,239187.0,TAU,Egzegeza: Księga pszczół,p
59,24ECkjPEzwJFvkn9VCK9sz,Orinoko flow,https://i.scdn.co/image/ab67616d00001e02176c6ac2acb07d66166bf715,https://p.scdn.co/mp3-preview/28a6185de9e05b1a94a0cf4b8a91bbcb30ad9bb6?cid=774b29d4f13844c495f206cafdad9c86,0.518,0.829,-7.496,0.0622,0.0403,3.01e-06,0.0936,0.557,136.085,236413.0,Zeus,Zeus. Jest super.,p
60,4hqUiuR4Y8Zxa7hKOfstqt,Wspomnienie - Live,https://i.scdn.co/image/ab67616d00001e0226f88aaba42aca79e8eccf89,https://p.scdn.co/mp3-preview/1894c34b29f66363aae1b5e664ef4648eedfc046?cid=774b29d4f13844c495f206cafdad9c86,0.28,0.715,-6.909,0.0889,0.0625,0.00104,0.958,0.278,173.096,235425.0,Various Artists,Męskie Granie 2019,p
61,7ddGkV1DY6SSWuLlKxdywK,Pochwała cienia,https://i.scdn.co/image/ab67616d00001e02cc9fadf424bf0054a0ef94de,https://p.scdn.co/mp3-preview/cb7b2663f9496084710461a8d6281d8ed22697f7?cid=774b29d4f13844c495f206cafdad9c86,0.349,0.67,-7.948,0.213,0.439,0.0,0.355,0.498,70.276,233770.0,Bisz,Ukryte w śniegu,p
62,43zTxih3nZ079M1dgz97fi,ul. Zwierciadeł,https://i.scdn.co/image/ab67616d00001e0246c6461cf9c20a0a8c775ecb,https://p.scdn.co/mp3-preview/b555251918582fde7e517818c06d81008115c13d?cid=774b29d4f13844c495f206cafdad9c86,0.4,0.838,-5.518,0.347,0.171,3.67e-06,0.0856,0.47,89.99,236027.0,TAU,Egzegeza: Księga pszczół,p
63,3cm8s2NiHNW1Hicv1xBpS6,ODP 2,https://i.scdn.co/image/ab67616d00001e02176c6ac2acb07d66166bf715,https://p.scdn.co/mp3-preview/dc3f061805df8da47967c2dd4d0ea484cb9669a7?cid=774b29d4f13844c495f206cafdad9c86,0.749,0.639,-10.765,0.0414,0.373,0.124,0.091,0.604,125.022,236120.0,Zeus,Zeus. Jest super.,p
