Entity,Code,Date,parks
Uruguay,URY,2020-09-09,-41.429
Uruguay,URY,2020-09-10,-38.857
Uruguay,URY,2020-09-11,-38.571
Uruguay,URY,2020-09-12,-37.857
Uruguay,URY,2020-09-13,-37.286
Uruguay,URY,2020-09-14,-37.143
Uruguay,URY,2020-09-15,-37.571
Uruguay,URY,2020-09-16,-36.714
Uruguay,URY,2020-09-17,-36.857
Uruguay,URY,2020-09-18,-36.286
Uruguay,URY,2020-09-19,-37.143
Uruguay,URY,2020-09-20,-36
Uruguay,URY,2020-09-21,-36.143
Uruguay,URY,2020-09-22,-36
Uruguay,URY,2020-09-23,-36.714
Uruguay,URY,2020-09-24,-37.857
Uruguay,URY,2020-09-25,-39.143
Uruguay,URY,2020-09-26,-42.857
Uruguay,URY,2020-09-27,-44.714
Uruguay,URY,2020-09-28,-45.714
Uruguay,URY,2020-09-29,-45.857
Uruguay,URY,2020-09-30,-45.286
Uruguay,URY,2020-10-01,-45.714
Uruguay,URY,2020-10-02,-46.571
Uruguay,URY,2020-10-03,-44.714
Uruguay,URY,2020-10-04,-46.429
Uruguay,URY,2020-10-05,-46.857
Uruguay,URY,2020-10-06,-47
Uruguay,URY,2020-10-07,-46.571
Uruguay,URY,2020-10-08,-46
Uruguay,URY,2020-10-09,-44.714
Uruguay,URY,2020-10-10,-42
Uruguay,URY,2020-10-11,-39.571
Uruguay,URY,2020-10-12,-39.286
Uruguay,URY,2020-10-13,-39.857
Uruguay,URY,2020-10-14,-40
Uruguay,URY,2020-10-15,-40.143
Uruguay,URY,2020-10-16,-39.571
Uruguay,URY,2020-10-17,-40.714
Uruguay,URY,2020-10-18,-38.714
Uruguay,URY,2020-10-19,-38.286
Uruguay,URY,2020-10-20,-40.714
Uruguay,URY,2020-10-21,-42.857
Uruguay,URY,2020-10-22,-45.571
Uruguay,URY,2020-10-23,-46.286
Uruguay,URY,2020-10-24,-45.857
Uruguay,URY,2020-10-25,-49.286
Uruguay,URY,2020-10-26,-49.857
Uruguay,URY,2020-10-27,-46.857
Uruguay,URY,2020-10-28,-47.286
Uruguay,URY,2020-10-29,-45.571
Uruguay,URY,2020-10-30,-45.714
Uruguay,URY,2020-10-31,-45.143
Uruguay,URY,2020-11-01,-41.714
Uruguay,URY,2020-11-02,-38.714
Uruguay,URY,2020-11-03,-38.857
Uruguay,URY,2020-11-04,-36.857
Uruguay,URY,2020-11-05,-35.429
Uruguay,URY,2020-11-06,-34.714
Uruguay,URY,2020-11-07,-35
Uruguay,URY,2020-11-08,-36
Uruguay,URY,2020-11-09,-38.571
Uruguay,URY,2020-11-10,-38.429
Uruguay,URY,2020-11-11,-38.714
Uruguay,URY,2020-11-12,-39.143
Uruguay,URY,2020-11-13,-39.857
Uruguay,URY,2020-11-14,-40.714
Uruguay,URY,2020-11-15,-42
Uruguay,URY,2020-11-16,-41.429
Uruguay,URY,2020-11-17,-42.143
Uruguay,URY,2020-11-18,-42.714
Uruguay,URY,2020-11-19,-43.143
Uruguay,URY,2020-11-20,-42.857
Uruguay,URY,2020-11-21,-42.286
Uruguay,URY,2020-11-22,-41.286
Uruguay,URY,2020-11-23,-41
Uruguay,URY,2020-11-24,-41.286
Venezuela,VEN,2020-02-17,2.667
Venezuela,VEN,2020-02-18,2
Venezuela,VEN,2020-02-19,2.4
Venezuela,VEN,2020-02-20,3.333
Venezuela,VEN,2020-02-21,4
Venezuela,VEN,2020-02-22,5.286
Venezuela,VEN,2020-02-23,10.143
Venezuela,VEN,2020-02-24,14.714
