number-of-people	living-voivodeship	living-county	living-municipality	working-voivodeship	working-county	working-municipality
16	Pomorskie	Powiat malborski	Stare Pole	Mazowieckie	Powiat m. st. Warszawa	M.st.Warszawa
137	Pomorskie	Powiat malborski	Stare Pole	Pomorskie	Powiat malborski	Malbork
13	Pomorskie	Powiat malborski	Stare Pole	Pomorskie	Powiat nowodworski	Nowy Dwór Gdański - miasto
58	Pomorskie	Powiat malborski	Stare Pole	Pomorskie	Powiat m.Gdańsk	Gdańsk
21	Pomorskie	Powiat malborski	Stare Pole	Pomorskie	Powiat m.Gdynia	Gdynia
14	Pomorskie	Powiat malborski	Stare Pole	Warmińsko-mazurskie	Powiat elbląski	Gronowo Elbląskie
83	Pomorskie	Powiat malborski	Stare Pole	Warmińsko-mazurskie	Powiat m.Elbląg	Elbląg
36	Pomorskie	Powiat nowodworski	Nowy Dwór Gdański - miasto	Mazowieckie	Powiat m. st. Warszawa	M.st.Warszawa
10	Pomorskie	Powiat nowodworski	Nowy Dwór Gdański - miasto	Pomorskie	Powiat gdański	Pruszcz Gdański
38	Pomorskie	Powiat nowodworski	Nowy Dwór Gdański - miasto	Pomorskie	Powiat nowodworski	Nowy Dwór Gdański - obszar wiejski
13	Pomorskie	Powiat nowodworski	Nowy Dwór Gdański - miasto	Pomorskie	Powiat nowodworski	Ostaszewo
72	Pomorskie	Powiat nowodworski	Nowy Dwór Gdański - miasto	Pomorskie	Powiat nowodworski	Stegna
23	Pomorskie	Powiat nowodworski	Nowy Dwór Gdański - miasto	Pomorskie	Powiat nowodworski	Sztutowo
301	Pomorskie	Powiat nowodworski	Nowy Dwór Gdański - miasto	Pomorskie	Powiat m.Gdańsk	Gdańsk
34	Pomorskie	Powiat nowodworski	Nowy Dwór Gdański - miasto	Pomorskie	Powiat m.Gdynia	Gdynia
47	Pomorskie	Powiat nowodworski	Nowy Dwór Gdański - miasto	Warmińsko-mazurskie	Powiat m.Elbląg	Elbląg
19	Pomorskie	Powiat nowodworski	Nowy Dwór Gdański - miasto	Warmińsko-mazurskie	Powiat m.Olsztyn	Olsztyn
10	Pomorskie	Powiat nowodworski	Nowy Dwór Gdański - obszar wiejski	Kujawsko-pomorskie	Powiat świecki	Świecie - miasto
28	Pomorskie	Powiat nowodworski	Nowy Dwór Gdański - obszar wiejski	Mazowieckie	Powiat m. st. Warszawa	M.st.Warszawa
11	Pomorskie	Powiat nowodworski	Nowy Dwór Gdański - obszar wiejski	Pomorskie	Powiat malborski	Malbork
344	Pomorskie	Powiat nowodworski	Nowy Dwór Gdański - obszar wiejski	Pomorskie	Powiat nowodworski	Nowy Dwór Gdański - miasto
39	Pomorskie	Powiat nowodworski	Nowy Dwór Gdański - obszar wiejski	Pomorskie	Powiat nowodworski	Stegna
167	Pomorskie	Powiat nowodworski	Nowy Dwór Gdański - obszar wiejski	Pomorskie	Powiat m.Gdańsk	Gdańsk
15	Pomorskie	Powiat nowodworski	Nowy Dwór Gdański - obszar wiejski	Pomorskie	Powiat m.Gdynia	Gdynia
11	Pomorskie	Powiat nowodworski	Nowy Dwór Gdański - obszar wiejski	Warmińsko-mazurskie	Powiat elbląski	Elbląg
90	Pomorskie	Powiat nowodworski	Nowy Dwór Gdański - obszar wiejski	Warmińsko-mazurskie	Powiat m.Elbląg	Elbląg
11	Pomorskie	Powiat nowodworski	Ostaszewo	Pomorskie	Powiat gdański	Pruszcz Gdański
57	Pomorskie	Powiat nowodworski	Ostaszewo	Pomorskie	Powiat nowodworski	Nowy Dwór Gdański - miasto
24	Pomorskie	Powiat nowodworski	Ostaszewo	Pomorskie	Powiat nowodworski	Stegna
19	Pomorskie	Powiat nowodworski	Ostaszewo	Pomorskie	Powiat tczewski	Tczew
137	Pomorskie	Powiat nowodworski	Ostaszewo	Pomorskie	Powiat m.Gdańsk	Gdańsk
14	Pomorskie	Powiat nowodworski	Ostaszewo	Pomorskie	Powiat m.Gdynia	Gdynia
35	Pomorskie	Powiat nowodworski	Stegna	Mazowieckie	Powiat m. st. Warszawa	M.st.Warszawa
10	Pomorskie	Powiat nowodworski	Stegna	Pomorskie	Powiat gdański	Pruszcz Gdański
25	Pomorskie	Powiat nowodworski	Stegna	Pomorskie	Powiat gdański	Cedry Wielkie
15	Pomorskie	Powiat nowodworski	Stegna	Pomorskie	Powiat gdański	Pruszcz Gdański
12	Pomorskie	Powiat nowodworski	Stegna	Pomorskie	Powiat nowodworski	Krynica Morska
182	Pomorskie	Powiat nowodworski	Stegna	Pomorskie	Powiat nowodworski	Nowy Dwór Gdański - miasto
56	Pomorskie	Powiat nowodworski	Stegna	Pomorskie	Powiat nowodworski	Sztutowo
353	Pomorskie	Powiat nowodworski	Stegna	Pomorskie	Powiat m.Gdańsk	Gdańsk
31	Pomorskie	Powiat nowodworski	Stegna	Pomorskie	Powiat m.Gdynia	Gdynia
14	Pomorskie	Powiat nowodworski	Stegna	Pomorskie	Powiat m.Sopot	Sopot
25	Pomorskie	Powiat nowodworski	Stegna	Warmińsko-mazurskie	Powiat m.Elbląg	Elbląg
17	Pomorskie	Powiat nowodworski	Sztutowo	Pomorskie	Powiat nowodworski	Krynica Morska
32	Pomorskie	Powiat nowodworski	Sztutowo	Pomorskie	Powiat nowodworski	Nowy Dwór Gdański - miasto
52	Pomorskie	Powiat nowodworski	Sztutowo	Pomorskie	Powiat nowodworski	Stegna
81	Pomorskie	Powiat nowodworski	Sztutowo	Pomorskie	Powiat m.Gdańsk	Gdańsk
15	Pomorskie	Powiat nowodworski	Sztutowo	Warmińsko-mazurskie	Powiat m.Elbląg	Elbląg
13	Pomorskie	Powiat pucki	Hel	Mazowieckie	Powiat m. st. Warszawa	M.st.Warszawa
21	Pomorskie	Powiat pucki	Hel	Pomorskie	Powiat pucki	Jastarnia
10	Pomorskie	Powiat pucki	Hel	Pomorskie	Powiat pucki	Puck
17	Pomorskie	Powiat pucki	Hel	Pomorskie	Powiat pucki	Władysławowo
26	Pomorskie	Powiat pucki	Hel	Pomorskie	Powiat wejherowski	Wejherowo
46	Pomorskie	Powiat pucki	Hel	Pomorskie	Powiat m.Gdańsk	Gdańsk
186	Pomorskie	Powiat pucki	Hel	Pomorskie	Powiat m.Gdynia	Gdynia
25	Pomorskie	Powiat pucki	Jastarnia	Pomorskie	Powiat pucki	Hel
15	Pomorskie	Powiat pucki	Jastarnia	Pomorskie	Powiat pucki	Puck
43	Pomorskie	Powiat pucki	Jastarnia	Pomorskie	Powiat pucki	Władysławowo
34	Pomorskie	Powiat pucki	Jastarnia	Pomorskie	Powiat m.Gdańsk	Gdańsk
33	Pomorskie	Powiat pucki	Jastarnia	Pomorskie	Powiat m.Gdynia	Gdynia
11	Pomorskie	Powiat pucki	Puck	Mazowieckie	Powiat warszawski zachodni	Leszno
25	Pomorskie	Powiat pucki	Puck	Mazowieckie	Powiat m. st. Warszawa	M.st.Warszawa
196	Pomorskie	Powiat pucki	Puck	Pomorskie	Powiat pucki	Władysławowo
26	Pomorskie	Powiat pucki	Puck	Pomorskie	Powiat pucki	Krokowa
219	Pomorskie	Powiat pucki	Puck	Pomorskie	Powiat pucki	Puck
25	Pomorskie	Powiat pucki	Puck	Pomorskie	Powiat wejherowski	Reda
22	Pomorskie	Powiat pucki	Puck	Pomorskie	Powiat wejherowski	Rumia
55	Pomorskie	Powiat pucki	Puck	Pomorskie	Powiat wejherowski	Wejherowo
10	Pomorskie	Powiat pucki	Puck	Pomorskie	Powiat wejherowski	Wejherowo
126	Pomorskie	Powiat pucki	Puck	Pomorskie	Powiat m.Gdańsk	Gdańsk
213	Pomorskie	Powiat pucki	Puck	Pomorskie	Powiat m.Gdynia	Gdynia
15	Pomorskie	Powiat pucki	Puck	Pomorskie	Powiat m.Sopot	Sopot
18	Pomorskie	Powiat pucki	Puck	Wielkopolskie	Powiat m.Poznań	Poznań
24	Pomorskie	Powiat pucki	Władysławowo	Małopolskie	Powiat m.Kraków	Kraków
65	Pomorskie	Powiat pucki	Władysławowo	Mazowieckie	Powiat m. st. Warszawa	M.st.Warszawa
15	Pomorskie	Powiat pucki	Władysławowo	Pomorskie	Powiat pucki	Hel
36	Pomorskie	Powiat pucki	Władysławowo	Pomorskie	Powiat pucki	Jastarnia
264	Pomorskie	Powiat pucki	Władysławowo	Pomorskie	Powiat pucki	Puck
40	Pomorskie	Powiat pucki	Władysławowo	Pomorskie	Powiat pucki	Krokowa
259	Pomorskie	Powiat pucki	Władysławowo	Pomorskie	Powiat pucki	Puck
18	Pomorskie	Powiat pucki	Władysławowo	Pomorskie	Powiat wejherowski	Reda
19	Pomorskie	Powiat pucki	Władysławowo	Pomorskie	Powiat wejherowski	Rumia
42	Pomorskie	Powiat pucki	Władysławowo	Pomorskie	Powiat wejherowski	Wejherowo
10	Pomorskie	Powiat pucki	Władysławowo	Pomorskie	Powiat wejherowski	Wejherowo
163	Pomorskie	Powiat pucki	Władysławowo	Pomorskie	Powiat m.Gdańsk	Gdańsk
230	Pomorskie	Powiat pucki	Władysławowo	Pomorskie	Powiat m.Gdynia	Gdynia
73	Pomorskie	Powiat pucki	Kosakowo	Mazowieckie	Powiat m. st. Warszawa	M.st.Warszawa
17	Pomorskie	Powiat pucki	Kosakowo	Pomorskie	Powiat kartuski	Żukowo - obszar wiejski
11	Pomorskie	Powiat pucki	Kosakowo	Pomorskie	Powiat pucki	Puck
77	Pomorskie	Powiat pucki	Kosakowo	Pomorskie	Powiat wejherowski	Rumia
17	Pomorskie	Powiat pucki	Kosakowo	Pomorskie	Powiat wejherowski	Wejherowo
224	Pomorskie	Powiat pucki	Kosakowo	Pomorskie	Powiat m.Gdańsk	Gdańsk
871	Pomorskie	Powiat pucki	Kosakowo	Pomorskie	Powiat m.Gdynia	Gdynia
51	Pomorskie	Powiat pucki	Kosakowo	Pomorskie	Powiat m.Sopot	Sopot
16	Pomorskie	Powiat pucki	Krokowa	Małopolskie	Powiat m.Kraków	Kraków
12	Pomorskie	Powiat pucki	Krokowa	Mazowieckie	Powiat m. st. Warszawa	M.st.Warszawa
126	Pomorskie	Powiat pucki	Krokowa	Pomorskie	Powiat pucki	Puck
185	Pomorskie	Powiat pucki	Krokowa	Pomorskie	Powiat pucki	Władysławowo
101	Pomorskie	Powiat pucki	Krokowa	Pomorskie	Powiat pucki	Puck
21	Pomorskie	Powiat pucki	Krokowa	Pomorskie	Powiat wejherowski	Reda
16	Pomorskie	Powiat pucki	Krokowa	Pomorskie	Powiat wejherowski	Rumia
206	Pomorskie	Powiat pucki	Krokowa	Pomorskie	Powiat wejherowski	Wejherowo
14	Pomorskie	Powiat pucki	Krokowa	Pomorskie	Powiat wejherowski	Choczewo
148	Pomorskie	Powiat pucki	Krokowa	Pomorskie	Powiat wejherowski	Gniewino
10	Pomorskie	Powiat pucki	Krokowa	Pomorskie	Powiat wejherowski	Luzino
35	Pomorskie	Powiat pucki	Krokowa	Pomorskie	Powiat wejherowski	Wejherowo
59	Pomorskie	Powiat pucki	Krokowa	Pomorskie	Powiat m.Gdańsk	Gdańsk
82	Pomorskie	Powiat pucki	Krokowa	Pomorskie	Powiat m.Gdynia	Gdynia
14	Pomorskie	Powiat pucki	Puck	Małopolskie	Powiat m.Kraków	Kraków
56	Pomorskie	Powiat pucki	Puck	Mazowieckie	Powiat m. st. Warszawa	M.st.Warszawa
11	Pomorskie	Powiat pucki	Puck	Pomorskie	Powiat gdański	Pruszcz Gdański
14	Pomorskie	Powiat pucki	Puck	Pomorskie	Powiat kartuski	Żukowo - obszar wiejski
10	Pomorskie	Powiat pucki	Puck	Pomorskie	Powiat pucki	Hel
11	Pomorskie	Powiat pucki	Puck	Pomorskie	Powiat pucki	Jastarnia
834	Pomorskie	Powiat pucki	Puck	Pomorskie	Powiat pucki	Puck
519	Pomorskie	Powiat pucki	Puck	Pomorskie	Powiat pucki	Władysławowo
20	Pomorskie	Powiat pucki	Puck	Pomorskie	Powiat pucki	Kosakowo
78	Pomorskie	Powiat pucki	Puck	Pomorskie	Powiat pucki	Krokowa
106	Pomorskie	Powiat pucki	Puck	Pomorskie	Powiat wejherowski	Reda
109	Pomorskie	Powiat pucki	Puck	Pomorskie	Powiat wejherowski	Rumia
231	Pomorskie	Powiat pucki	Puck	Pomorskie	Powiat wejherowski	Wejherowo
17	Pomorskie	Powiat pucki	Puck	Pomorskie	Powiat wejherowski	Luzino
41	Pomorskie	Powiat pucki	Puck	Pomorskie	Powiat wejherowski	Wejherowo
306	Pomorskie	Powiat pucki	Puck	Pomorskie	Powiat m.Gdańsk	Gdańsk
621	Pomorskie	Powiat pucki	Puck	Pomorskie	Powiat m.Gdynia	Gdynia
34	Pomorskie	Powiat pucki	Puck	Pomorskie	Powiat m.Sopot	Sopot
21	Pomorskie	Powiat pucki	Puck	Wielkopolskie	Powiat m.Poznań	Poznań
34	Pomorskie	Powiat słupski	Ustka	Mazowieckie	Powiat m. st. Warszawa	M.st.Warszawa
26	Pomorskie	Powiat słupski	Ustka	Pomorskie	Powiat słupski	Kobylnica
150	Pomorskie	Powiat słupski	Ustka	Pomorskie	Powiat słupski	Słupsk
565	Pomorskie	Powiat słupski	Ustka	Pomorskie	Powiat słupski	Ustka
14	Pomorskie	Powiat słupski	Ustka	Pomorskie	Powiat wejherowski	Wejherowo
72	Pomorskie	Powiat słupski	Ustka	Pomorskie	Powiat m.Gdańsk	Gdańsk
48	Pomorskie	Powiat słupski	Ustka	Pomorskie	Powiat m.Gdynia	Gdynia
418	Pomorskie	Powiat słupski	Ustka	Pomorskie	Powiat m.Słupsk	Słupsk
11	Pomorskie	Powiat słupski	Ustka	Zachodniopomorskie	Powiat sławieński	Postomino
16	Pomorskie	Powiat słupski	Ustka	Zachodniopomorskie	Powiat m.Koszalin	Koszalin
154	Pomorskie	Powiat słupski	Ustka	Zachodniopomorskie	Powiat m.Szczecin	Szczecin
30	Pomorskie	Powiat słupski	Damnica	Małopolskie	Powiat wadowicki	Andrychów - miasto
12	Pomorskie	Powiat słupski	Damnica	Pomorskie	Powiat lęborski	Lębork
23	Pomorskie	Powiat słupski	Damnica	Pomorskie	Powiat słupski	Ustka
10	Pomorskie	Powiat słupski	Damnica	Pomorskie	Powiat słupski	Główczyce
49	Pomorskie	Powiat słupski	Damnica	Pomorskie	Powiat słupski	Kobylnica
13	Pomorskie	Powiat słupski	Damnica	Pomorskie	Powiat słupski	Potęgowo
76	Pomorskie	Powiat słupski	Damnica	Pomorskie	Powiat słupski	Słupsk
14	Pomorskie	Powiat słupski	Damnica	Pomorskie	Powiat słupski	Ustka
40	Pomorskie	Powiat słupski	Damnica	Pomorskie	Powiat m.Gdańsk	Gdańsk
14	Pomorskie	Powiat słupski	Damnica	Pomorskie	Powiat m.Gdynia	Gdynia
362	Pomorskie	Powiat słupski	Damnica	Pomorskie	Powiat m.Słupsk	Słupsk
45	Pomorskie	Powiat słupski	Damnica	Zachodniopomorskie	Powiat m.Koszalin	Koszalin
13	Pomorskie	Powiat słupski	Damnica	Zachodniopomorskie	Powiat m.Szczecin	Szczecin
11	Pomorskie	Powiat słupski	Dębnica Kaszubska	Mazowieckie	Powiat m. st. Warszawa	M.st.Warszawa
99	Pomorskie	Powiat słupski	Dębnica Kaszubska	Pomorskie	Powiat bytowski	Bytów - miasto
28	Pomorskie	Powiat słupski	Dębnica Kaszubska	Pomorskie	Powiat słupski	Ustka
86	Pomorskie	Powiat słupski	Dębnica Kaszubska	Pomorskie	Powiat słupski	Kobylnica
171	Pomorskie	Powiat słupski	Dębnica Kaszubska	Pomorskie	Powiat słupski	Słupsk
34	Pomorskie	Powiat słupski	Dębnica Kaszubska	Pomorskie	Powiat słupski	Ustka
47	Pomorskie	Powiat słupski	Dębnica Kaszubska	Pomorskie	Powiat m.Gdańsk	Gdańsk
29	Pomorskie	Powiat słupski	Dębnica Kaszubska	Pomorskie	Powiat m.Gdynia	Gdynia
573	Pomorskie	Powiat słupski	Dębnica Kaszubska	Pomorskie	Powiat m.Słupsk	Słupsk
14	Pomorskie	Powiat słupski	Główczyce	Małopolskie	Powiat wadowicki	Andrychów - miasto
20	Pomorskie	Powiat słupski	Główczyce	Pomorskie	Powiat lęborski	Lębork
91	Pomorskie	Powiat słupski	Główczyce	Pomorskie	Powiat lęborski	Łeba
12	Pomorskie	Powiat słupski	Główczyce	Pomorskie	Powiat lęborski	Nowa Wieś Lęborska
164	Pomorskie	Powiat słupski	Główczyce	Pomorskie	Powiat lęborski	Wicko
54	Pomorskie	Powiat słupski	Główczyce	Pomorskie	Powiat słupski	Ustka
22	Pomorskie	Powiat słupski	Główczyce	Pomorskie	Powiat słupski	Damnica
61	Pomorskie	Powiat słupski	Główczyce	Pomorskie	Powiat słupski	Kobylnica
23	Pomorskie	Powiat słupski	Główczyce	Pomorskie	Powiat słupski	Potęgowo
67	Pomorskie	Powiat słupski	Główczyce	Pomorskie	Powiat słupski	Słupsk
25	Pomorskie	Powiat słupski	Główczyce	Pomorskie	Powiat słupski	Ustka
37	Pomorskie	Powiat słupski	Główczyce	Pomorskie	Powiat m.Gdańsk	Gdańsk
13	Pomorskie	Powiat słupski	Główczyce	Pomorskie	Powiat m.Gdynia	Gdynia
327	Pomorskie	Powiat słupski	Główczyce	Pomorskie	Powiat m.Słupsk	Słupsk
21	Pomorskie	Powiat słupski	Główczyce	Zachodniopomorskie	Powiat m.Koszalin	Koszalin
12	Pomorskie	Powiat słupski	Główczyce	Zachodniopomorskie	Powiat m.Szczecin	Szczecin
10	Pomorskie	Powiat słupski	Kępice - miasto	Mazowieckie	Powiat m. st. Warszawa	M.st.Warszawa
78	Pomorskie	Powiat słupski	Kępice - miasto	Pomorskie	Powiat słupski	Kępice - obszar wiejski
51	Pomorskie	Powiat słupski	Kępice - miasto	Pomorskie	Powiat słupski	Kobylnica
28	Pomorskie	Powiat słupski	Kępice - miasto	Pomorskie	Powiat słupski	Słupsk
16	Pomorskie	Powiat słupski	Kępice - miasto	Pomorskie	Powiat m.Gdańsk	Gdańsk
180	Pomorskie	Powiat słupski	Kępice - miasto	Pomorskie	Powiat m.Słupsk	Słupsk
17	Pomorskie	Powiat słupski	Kępice - miasto	Zachodniopomorskie	Powiat sławieński	Sławno
15	Pomorskie	Powiat słupski	Kępice - obszar wiejski	Pomorskie	Powiat bytowski	Bytów - miasto
10	Pomorskie	Powiat słupski	Kępice - obszar wiejski	Pomorskie	Powiat bytowski	Miastko - miasto
130	Pomorskie	Powiat słupski	Kępice - obszar wiejski	Pomorskie	Powiat słupski	Kępice - miasto
78	Pomorskie	Powiat słupski	Kępice - obszar wiejski	Pomorskie	Powiat słupski	Kobylnica
19	Pomorskie	Powiat słupski	Kępice - obszar wiejski	Pomorskie	Powiat słupski	Słupsk
31	Pomorskie	Powiat słupski	Kępice - obszar wiejski	Pomorskie	Powiat m.Gdańsk	Gdańsk
20	Pomorskie	Powiat słupski	Kępice - obszar wiejski	Pomorskie	Powiat m.Gdynia	Gdynia
164	Pomorskie	Powiat słupski	Kępice - obszar wiejski	Pomorskie	Powiat m.Słupsk	Słupsk
25	Pomorskie	Powiat słupski	Kępice - obszar wiejski	Zachodniopomorskie	Powiat sławieński	Sławno
12	Pomorskie	Powiat słupski	Kępice - obszar wiejski	Zachodniopomorskie	Powiat m.Koszalin	Koszalin
24	Pomorskie	Powiat słupski	Kobylnica	Mazowieckie	Powiat m. st. Warszawa	M.st.Warszawa
62	Pomorskie	Powiat słupski	Kobylnica	Pomorskie	Powiat słupski	Ustka
10	Pomorskie	Powiat słupski	Kobylnica	Pomorskie	Powiat słupski	Dębnica Kaszubska
89	Pomorskie	Powiat słupski	Kobylnica	Pomorskie	Powiat słupski	Słupsk
29	Pomorskie	Powiat słupski	Kobylnica	Pomorskie	Powiat słupski	Ustka
100	Pomorskie	Powiat słupski	Kobylnica	Pomorskie	Powiat m.Gdańsk	Gdańsk
32	Pomorskie	Powiat słupski	Kobylnica	Pomorskie	Powiat m.Gdynia	Gdynia
862	Pomorskie	Powiat słupski	Kobylnica	Pomorskie	Powiat m.Słupsk	Słupsk
20	Pomorskie	Powiat słupski	Kobylnica	Zachodniopomorskie	Powiat m.Koszalin	Koszalin
22	Pomorskie	Powiat słupski	Potęgowo	Pomorskie	Powiat kartuski	Sierakowice
67	Pomorskie	Powiat słupski	Potęgowo	Pomorskie	Powiat lęborski	Lębork
17	Pomorskie	Powiat słupski	Potęgowo	Pomorskie	Powiat lęborski	Nowa Wieś Lęborska
15	Pomorskie	Powiat słupski	Potęgowo	Pomorskie	Powiat słupski	Ustka
21	Pomorskie	Powiat słupski	Potęgowo	Pomorskie	Powiat słupski	Damnica
14	Pomorskie	Powiat słupski	Potęgowo	Pomorskie	Powiat słupski	Główczyce
28	Pomorskie	Powiat słupski	Potęgowo	Pomorskie	Powiat słupski	Kobylnica
33	Pomorskie	Powiat słupski	Potęgowo	Pomorskie	Powiat słupski	Słupsk
11	Pomorskie	Powiat słupski	Potęgowo	Pomorskie	Powiat słupski	Ustka
29	Pomorskie	Powiat słupski	Potęgowo	Pomorskie	Powiat m.Gdańsk	Gdańsk
225	Pomorskie	Powiat słupski	Potęgowo	Pomorskie	Powiat m.Słupsk	Słupsk
15	Pomorskie	Powiat słupski	Potęgowo	Zachodniopomorskie	Powiat m.Koszalin	Koszalin
11	Pomorskie	Powiat słupski	Potęgowo	Zachodniopomorskie	Powiat m.Szczecin	Szczecin
37	Pomorskie	Powiat słupski	Słupsk	Mazowieckie	Powiat m. st. Warszawa	M.st.Warszawa
11	Pomorskie	Powiat słupski	Słupsk	Pomorskie	Powiat lęborski	Lębork
150	Pomorskie	Powiat słupski	Słupsk	Pomorskie	Powiat słupski	Ustka
17	Pomorskie	Powiat słupski	Słupsk	Pomorskie	Powiat słupski	Dębnica Kaszubska
10	Pomorskie	Powiat słupski	Słupsk	Pomorskie	Powiat słupski	Główczyce
150	Pomorskie	Powiat słupski	Słupsk	Pomorskie	Powiat słupski	Kobylnica
10	Pomorskie	Powiat słupski	Słupsk	Pomorskie	Powiat słupski	Smołdzino
99	Pomorskie	Powiat słupski	Słupsk	Pomorskie	Powiat słupski	Ustka
143	Pomorskie	Powiat słupski	Słupsk	Pomorskie	Powiat m.Gdańsk	Gdańsk
47	Pomorskie	Powiat słupski	Słupsk	Pomorskie	Powiat m.Gdynia	Gdynia
1314	Pomorskie	Powiat słupski	Słupsk	Pomorskie	Powiat m.Słupsk	Słupsk
16	Pomorskie	Powiat słupski	Słupsk	Zachodniopomorskie	Powiat m.Koszalin	Koszalin
41	Pomorskie	Powiat słupski	Słupsk	Zachodniopomorskie	Powiat m.Szczecin	Szczecin
35	Pomorskie	Powiat słupski	Smołdzino	Pomorskie	Powiat słupski	Ustka
16	Pomorskie	Powiat słupski	Smołdzino	Pomorskie	Powiat słupski	Kobylnica
30	Pomorskie	Powiat słupski	Smołdzino	Pomorskie	Powiat słupski	Słupsk
20	Pomorskie	Powiat słupski	Smołdzino	Pomorskie	Powiat słupski	Ustka
13	Pomorskie	Powiat słupski	Smołdzino	Pomorskie	Powiat m.Gdańsk	Gdańsk
190	Pomorskie	Powiat słupski	Smołdzino	Pomorskie	Powiat m.Słupsk	Słupsk
16	Pomorskie	Powiat słupski	Smołdzino	Zachodniopomorskie	Powiat m.Szczecin	Szczecin
264	Pomorskie	Powiat słupski	Ustka	Pomorskie	Powiat słupski	Ustka
21	Pomorskie	Powiat słupski	Ustka	Pomorskie	Powiat słupski	Kobylnica
108	Pomorskie	Powiat słupski	Ustka	Pomorskie	Powiat słupski	Słupsk
11	Pomorskie	Powiat słupski	Ustka	Pomorskie	Powiat słupski	Smołdzino
23	Pomorskie	Powiat słupski	Ustka	Pomorskie	Powiat m.Gdańsk	Gdańsk
17	Pomorskie	Powiat słupski	Ustka	Pomorskie	Powiat m.Gdynia	Gdynia
286	Pomorskie	Powiat słupski	Ustka	Pomorskie	Powiat m.Słupsk	Słupsk
77	Pomorskie	Powiat słupski	Ustka	Zachodniopomorskie	Powiat m.Szczecin	Szczecin
10	Pomorskie	Powiat starogardzki	Czarna Woda	Pomorskie	Powiat chojnicki	Chojnice
51	Pomorskie	Powiat starogardzki	Czarna Woda	Pomorskie	Powiat chojnicki	Czersk - miasto
26	Pomorskie	Powiat starogardzki	Czarna Woda	Pomorskie	Powiat chojnicki	Czersk - obszar wiejski
42	Pomorskie	Powiat starogardzki	Czarna Woda	Pomorskie	Powiat starogardzki	Starogard Gdański
30	Pomorskie	Powiat starogardzki	Czarna Woda	Pomorskie	Powiat starogardzki	Kaliska
17	Pomorskie	Powiat starogardzki	Czarna Woda	Pomorskie	Powiat starogardzki	Zblewo
31	Pomorskie	Powiat starogardzki	Czarna Woda	Pomorskie	Powiat m.Gdańsk	Gdańsk
18	Pomorskie	Powiat starogardzki	Czarna Woda	Pomorskie	Powiat m.Gdynia	Gdynia
19	Pomorskie	Powiat starogardzki	Czarna Woda	Wielkopolskie	Powiat czarnkowsko-trzcianecki	Czarnków
121	Pomorskie	Powiat starogardzki	Skórcz	Pomorskie	Powiat starogardzki	Starogard Gdański
29	Pomorskie	Powiat starogardzki	Skórcz	Pomorskie	Powiat starogardzki	Skórcz
14	Pomorskie	Powiat starogardzki	Skórcz	Pomorskie	Powiat starogardzki	Starogard Gdański
10	Pomorskie	Powiat starogardzki	Skórcz	Pomorskie	Powiat starogardzki	Zblewo
14	Pomorskie	Powiat starogardzki	Skórcz	Pomorskie	Powiat wejherowski	Wejherowo
40	Pomorskie	Powiat starogardzki	Skórcz	Pomorskie	Powiat m.Gdańsk	Gdańsk
28	Pomorskie	Powiat starogardzki	Skórcz	Pomorskie	Powiat m.Gdynia	Gdynia
16	Pomorskie	Powiat starogardzki	Starogard Gdański	Dolnośląskie	Powiat m.Wrocław	Wrocław
47	Pomorskie	Powiat starogardzki	Starogard Gdański	Kujawsko-pomorskie	Powiat toruński	Lubicz
15	Pomorskie	Powiat starogardzki	Starogard Gdański	Małopolskie	Powiat tarnowski	Skrzyszów
66	Pomorskie	Powiat starogardzki	Starogard Gdański	Mazowieckie	Powiat m. st. Warszawa	M.st.Warszawa
30	Pomorskie	Powiat starogardzki	Starogard Gdański	Pomorskie	Powiat gdański	Pruszcz Gdański
14	Pomorskie	Powiat starogardzki	Starogard Gdański	Pomorskie	Powiat gdański	Pruszcz Gdański
19	Pomorskie	Powiat starogardzki	Starogard Gdański	Pomorskie	Powiat gdański	Pszczółki
11	Pomorskie	Powiat starogardzki	Starogard Gdański	Pomorskie	Powiat starogardzki	Czarna Woda
39	Pomorskie	Powiat starogardzki	Starogard Gdański	Pomorskie	Powiat starogardzki	Skórcz
28	Pomorskie	Powiat starogardzki	Starogard Gdański	Pomorskie	Powiat starogardzki	Bobowo
16	Pomorskie	Powiat starogardzki	Starogard Gdański	Pomorskie	Powiat starogardzki	Kaliska
34	Pomorskie	Powiat starogardzki	Starogard Gdański	Pomorskie	Powiat starogardzki	Lubichowo
98	Pomorskie	Powiat starogardzki	Starogard Gdański	Pomorskie	Powiat starogardzki	Skarszewy - miasto
48	Pomorskie	Powiat starogardzki	Starogard Gdański	Pomorskie	Powiat starogardzki	Skarszewy - obszar wiejski
585	Pomorskie	Powiat starogardzki	Starogard Gdański	Pomorskie	Powiat starogardzki	Starogard Gdański
99	Pomorskie	Powiat starogardzki	Starogard Gdański	Pomorskie	Powiat starogardzki	Zblewo
200	Pomorskie	Powiat starogardzki	Starogard Gdański	Pomorskie	Powiat tczewski	Tczew
68	Pomorskie	Powiat starogardzki	Starogard Gdański	Pomorskie	Powiat tczewski	Pelplin - miasto
23	Pomorskie	Powiat starogardzki	Starogard Gdański	Pomorskie	Powiat tczewski	Pelplin - obszar wiejski
72	Pomorskie	Powiat starogardzki	Starogard Gdański	Pomorskie	Powiat tczewski	Tczew
