date	voivodeship	region	infected_total
03.08.2020	Mazowieckie	Powiat ciechanowski	7
04.08.2020	Mazowieckie	Powiat ciechanowski	7
05.08.2020	Mazowieckie	Powiat ciechanowski	7
06.08.2020	Mazowieckie	Powiat ciechanowski	7
07.08.2020	Mazowieckie	Powiat ciechanowski	8
08.08.2020	Mazowieckie	Powiat ciechanowski	8
09.08.2020	Mazowieckie	Powiat ciechanowski	8
10.08.2020	Mazowieckie	Powiat ciechanowski	9
11.08.2020	Mazowieckie	Powiat ciechanowski	9
12.08.2020	Mazowieckie	Powiat ciechanowski	9
13.08.2020	Mazowieckie	Powiat ciechanowski	13
14.08.2020	Mazowieckie	Powiat ciechanowski	13
15.08.2020	Mazowieckie	Powiat ciechanowski	15
16.08.2020	Mazowieckie	Powiat ciechanowski	15
17.08.2020	Mazowieckie	Powiat ciechanowski	16
18.08.2020	Mazowieckie	Powiat ciechanowski	16
19.08.2020	Mazowieckie	Powiat ciechanowski	16
20.08.2020	Mazowieckie	Powiat ciechanowski	16
21.08.2020	Mazowieckie	Powiat ciechanowski	16
22.08.2020	Mazowieckie	Powiat ciechanowski	16
23.08.2020	Mazowieckie	Powiat ciechanowski	16
24.08.2020	Mazowieckie	Powiat ciechanowski	16
25.08.2020	Mazowieckie	Powiat ciechanowski	16
26.08.2020	Mazowieckie	Powiat ciechanowski	16
27.08.2020	Mazowieckie	Powiat ciechanowski	16
28.08.2020	Mazowieckie	Powiat ciechanowski	16
29.08.2020	Mazowieckie	Powiat ciechanowski	17
30.08.2020	Mazowieckie	Powiat ciechanowski	17
31.08.2020	Mazowieckie	Powiat ciechanowski	18
01.09.2020	Mazowieckie	Powiat ciechanowski	18
02.09.2020	Mazowieckie	Powiat ciechanowski	18
03.09.2020	Mazowieckie	Powiat ciechanowski	20
04.09.2020	Mazowieckie	Powiat ciechanowski	23
05.09.2020	Mazowieckie	Powiat ciechanowski	23
06.09.2020	Mazowieckie	Powiat ciechanowski	23
07.09.2020	Mazowieckie	Powiat ciechanowski	23
08.09.2020	Mazowieckie	Powiat ciechanowski	23
09.09.2020	Mazowieckie	Powiat ciechanowski	23
10.09.2020	Mazowieckie	Powiat ciechanowski	24
11.09.2020	Mazowieckie	Powiat ciechanowski	24
12.09.2020	Mazowieckie	Powiat ciechanowski	25
13.09.2020	Mazowieckie	Powiat ciechanowski	26
14.09.2020	Mazowieckie	Powiat ciechanowski	27
15.09.2020	Mazowieckie	Powiat ciechanowski	28
16.09.2020	Mazowieckie	Powiat ciechanowski	28
17.09.2020	Mazowieckie	Powiat ciechanowski	28
18.09.2020	Mazowieckie	Powiat ciechanowski	32
19.09.2020	Mazowieckie	Powiat ciechanowski	32
20.09.2020	Mazowieckie	Powiat ciechanowski	32
21.09.2020	Mazowieckie	Powiat ciechanowski	34
22.09.2020	Mazowieckie	Powiat ciechanowski	34
23.09.2020	Mazowieckie	Powiat ciechanowski	36
24.09.2020	Mazowieckie	Powiat ciechanowski	37
25.09.2020	Mazowieckie	Powiat ciechanowski	38
26.09.2020	Mazowieckie	Powiat ciechanowski	38
27.09.2020	Mazowieckie	Powiat ciechanowski	38
28.09.2020	Mazowieckie	Powiat ciechanowski	40
29.09.2020	Mazowieckie	Powiat ciechanowski	40
30.09.2020	Mazowieckie	Powiat ciechanowski	42
01.10.2020	Mazowieckie	Powiat ciechanowski	44
02.10.2020	Mazowieckie	Powiat ciechanowski	45
03.10.2020	Mazowieckie	Powiat ciechanowski	46
04.10.2020	Mazowieckie	Powiat ciechanowski	53
05.10.2020	Mazowieckie	Powiat ciechanowski	57
06.10.2020	Mazowieckie	Powiat ciechanowski	60
07.10.2020	Mazowieckie	Powiat ciechanowski	66
08.10.2020	Mazowieckie	Powiat ciechanowski	72
09.10.2020	Mazowieckie	Powiat ciechanowski	77
10.10.2020	Mazowieckie	Powiat ciechanowski	83
11.10.2020	Mazowieckie	Powiat ciechanowski	87
12.10.2020	Mazowieckie	Powiat ciechanowski	89
13.10.2020	Mazowieckie	Powiat ciechanowski	94
14.10.2020	Mazowieckie	Powiat ciechanowski	100
15.10.2020	Mazowieckie	Powiat ciechanowski	104
16.10.2020	Mazowieckie	Powiat ciechanowski	119
17.10.2020	Mazowieckie	Powiat ciechanowski	130
18.10.2020	Mazowieckie	Powiat ciechanowski	141
19.10.2020	Mazowieckie	Powiat ciechanowski	154
