"","iso_code","continent","location","date","total_cases","new_cases","new_cases_smoothed","total_deaths","new_deaths","new_deaths_smoothed","total_cases_per_million","new_cases_per_million","new_cases_smoothed_per_million","total_deaths_per_million","new_deaths_per_million","new_deaths_smoothed_per_million","reproduction_rate","icu_patients","icu_patients_per_million","hosp_patients","hosp_patients_per_million","weekly_icu_admissions","weekly_icu_admissions_per_million","weekly_hosp_admissions","weekly_hosp_admissions_per_million","total_tests","new_tests","total_tests_per_thousand","new_tests_per_thousand","new_tests_smoothed","new_tests_smoothed_per_thousand","tests_per_case","positive_rate","tests_units","stringency_index","population","population_density","median_age","aged_65_older","aged_70_older","gdp_per_capita","extreme_poverty","cardiovasc_death_rate","diabetes_prevalence","female_smokers","male_smokers","handwashing_facilities","hospital_beds_per_thousand","life_expectancy","human_development_index"
"151","PHL","Asia","Philippines",2020-11-29,427797,1879,1563.571,8333,78,36.143,3903.931,17.147,14.269,76.044,0.712,0.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,109581085,351.873,25.2,4.803,2.661,7599.188,NA,370.437,7.07,7.8,40.8,78.463,1,71.23,0.699
"152","PNG","Oceania","Papua New Guinea",2020-11-29,645,0,5.857,7,0,0,72.091,0,0.655,0.782,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,8947027,18.22,22.6,3.808,2.142,3823.194,NA,561.494,17.65,23.5,48.8,NA,NA,64.5,0.544
"153","POL","Europe","Poland",2020-11-29,973593,15177,18588.286,16746,599,494,25724.712,401.014,491.148,442.47,15.827,13.053,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,37846605,124.027,41.8,16.763,10.202,27216.445,NA,227.331,5.91,23.3,33.1,NA,6.62,78.73,0.865
"154","PRI","North America","Puerto Rico",2020-11-29,90448,1195,1043.857,1083,7,10.143,31615.889,417.709,364.878,378.56,2.447,3.545,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,2860840,376.232,38.2,15.168,9.829,35044.67,NA,108.094,12.9,NA,NA,NA,NA,80.1,NA
"155","PRT","Europe","Portugal",2020-11-29,290706,4868,4962.286,4363,87,77,28509.792,477.409,486.656,427.883,8.532,7.551,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,10196707,112.371,46.2,21.502,14.924,27936.896,0.5,127.842,9.85,16.3,30,NA,3.39,82.05,0.847
"156","PRY","South America","Paraguay",2020-11-29,81131,695,753.429,1731,11,11.286,11374.786,97.441,105.633,242.691,1.542,1.582,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,7132530,17.144,26.5,6.378,3.833,8827.01,1.7,199.128,8.27,5,21.6,79.602,1.3,74.25,0.702
"157","PSE","Asia","Palestine",2020-11-29,90732,0,1136,763,0,9.286,17785.65,0,222.683,149.566,0,1.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,5101416,778.202,20.4,3.043,1.726,4449.898,1,265.91,10.59,NA,NA,NA,NA,74.05,0.686
"158","PYF","Oceania","French Polynesia",2020-11-29,14096,213,159.714,73,1,1.429,50180.845,758.266,568.572,259.875,3.56,5.086,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,280904,77.324,32.7,7.775,4.593,NA,NA,NA,22.63,NA,NA,NA,NA,77.66,NA
"159","QAT","Asia","Qatar",2020-11-29,138477,227,202.143,237,0,0.286,48064.601,78.79,70.163,82.261,0,0.099,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,2881060,227.322,31.9,1.307,0.617,116935.6,NA,176.69,16.52,0.8,26.9,NA,1.2,80.23,0.856
"160","ROU","Europe","Romania",2020-11-29,465982,8134,7596.286,11045,161,161.286,24222.357,422.816,394.865,574.134,8.369,8.384,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",76.85,19237682,85.129,43,17.85,11.69,23313.199,5.7,370.946,9.74,22.9,37.1,NA,6.892,76.05,0.811
"161","RUS","Europe","Russia",2020-11-29,2269316,26683,25712.429,39527,459,478.286,15550.241,182.842,176.192,270.854,3.145,3.277,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,145934460,8.823,39.6,14.178,9.393,24765.954,0.1,431.297,6.18,23.4,58.3,NA,8.05,72.58,0.816
"162","RWA","Africa","Rwanda",2020-11-29,5891,19,38.714,47,0,0.143,454.826,1.467,2.989,3.629,0,0.011,NA,NA,NA,NA,NA,NA,NA,NA,NA,622073,2054,48.028,0.159,2476,0.191,63.956,0.016,"samples tested",NA,12952209,494.869,20.3,2.974,1.642,1854.211,56,191.375,4.28,4.7,21,4.617,NA,69.02,0.524
"163","SAU","Asia","Saudi Arabia",2020-11-29,356911,220,268.143,5870,13,15.571,10251.978,6.319,7.702,168.611,0.373,0.447,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,34813867,15.322,31.9,3.295,1.845,49045.411,NA,259.538,17.72,1.8,25.4,NA,2.7,75.13,0.853
"164","SDN","Africa","Sudan",2020-11-29,17068,204,219.714,1220,5,5,389.243,4.652,5.011,27.823,0.114,0.114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,43849269,23.258,19.7,3.548,2.034,4466.507,NA,431.388,15.67,NA,NA,23.437,0.8,65.31,0.502
"165","SEN","Africa","Senegal",2020-11-29,16027,46,23.143,332,0,0.286,957.183,2.747,1.382,19.828,0,0.017,NA,NA,NA,NA,NA,NA,NA,NA,NA,238340,1029,14.234,0.061,844,0.05,36.469,0.027,"tests performed",NA,16743930,82.328,18.7,3.008,1.796,2470.58,38,241.219,2.42,0.4,16.6,20.859,NA,67.94,0.505
"166","SGP","Asia","Singapore",2020-11-29,58205,6,8.143,29,1,0.143,9948.989,1.026,1.392,4.957,0.171,0.024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,5850343,7915.731,42.4,12.922,7.049,85535.383,NA,92.243,10.99,5.2,28.3,NA,2.4,83.62,0.932
"167","SLB","Oceania","Solomon Islands",2020-11-29,17,0,0.143,NA,0,0,24.75,0,0.208,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,686878,21.841,20.8,3.507,2.043,2205.923,25.1,459.78,18.68,NA,NA,35.89,1.4,73,0.546
"168","SLE","Africa","Sierra Leone",2020-11-29,2410,0,0.714,74,0,0,302.119,0,0.09,9.277,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,7976985,104.7,19.1,2.538,1.285,1390.3,52.2,325.721,2.42,8.8,41.3,19.275,NA,54.7,0.419
"169","SLV","North America","El Salvador",2020-11-29,38405,0,165,1111,4,5.143,5921.031,0,25.439,171.287,0.617,0.793,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,6486201,307.811,27.6,8.273,5.417,7292.458,2.2,167.295,8.87,2.5,18.8,90.65,1.3,73.32,0.674
"170","SMR","Europe","San Marino",2020-11-29,1586,32,27.286,45,1,0.286,46732.277,942.896,803.987,1325.947,29.465,8.419,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,33938,556.667,NA,NA,NA,56861.47,NA,NA,5.64,NA,NA,NA,3.8,84.97,NA
"171","SOM","Africa","Somalia",2020-11-29,4445,0,9,113,0,0.714,279.679,0,0.566,7.11,0,0.045,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,15893219,23.5,16.8,2.731,1.496,NA,NA,365.769,6.05,NA,NA,9.831,0.9,57.4,NA
"172","SRB","Europe","Serbia",2020-11-29,163035,7041,6701.429,1484,61,45.143,23959.541,1034.742,984.839,218.088,8.965,6.634,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,6804596,80.291,41.2,17.366,NA,14048.881,NA,439.415,10.08,37.7,40.2,97.719,5.609,76,0.787
"173","SSD","Africa","South Sudan",2020-11-29,3104,12,8.143,61,0,0.143,277.298,1.072,0.727,5.449,0,0.013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,11193729,NA,19.2,3.441,2.032,1569.888,NA,280.775,10.43,NA,NA,NA,NA,57.85,0.388
"174","STP","Africa","Sao Tome and Principe",2020-11-29,985,0,0.857,17,0,0,4494.413,0,3.911,77.569,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,219161,212.841,18.7,2.886,2.162,3052.714,32.3,270.113,2.42,NA,NA,41.34,2.9,70.39,0.589
"175","SUR","South America","Suriname",2020-11-29,5312,1,2.429,117,0,0.143,9055.05,1.705,4.14,199.443,0,0.244,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,586634,3.612,29.6,6.933,4.229,13767.119,NA,258.314,12.54,7.4,42.9,67.779,3.1,71.68,0.72
"176","SVK","Europe","Slovakia",2020-11-29,104632,1526,1339.286,798,27,22,19164.623,279.505,245.306,146.163,4.945,4.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,5459643,113.128,41.2,15.07,9.167,30155.152,0.7,287.959,7.29,23.1,37.7,NA,5.82,77.54,0.855
"177","SVN","Europe","Slovenia",2020-11-29,74264,1590,1425.714,913,30,36.571,35722.188,764.816,685.792,439.168,14.43,17.591,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,2078932,102.619,44.5,19.062,12.93,31400.84,NA,153.493,7.25,20.1,25,NA,4.5,81.32,0.896
"178","SWZ","Africa","Swaziland",2020-11-29,6406,44,28.714,121,1,0.286,5521.633,37.926,24.75,104.296,0.862,0.246,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,1160164,79.492,21.5,3.163,1.845,7738.975,NA,333.436,3.94,1.7,16.5,24.097,2.1,60.19,0.588
"179","SXM","North America","Sint Maarten (Dutch part)",2020-11-29,1062,9,9.429,25,0,0,24765.636,209.878,219.872,582.995,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,42882,1209.088,NA,NA,NA,36327.232,NA,NA,NA,NA,NA,NA,NA,78.95,NA
"180","SYC","Africa","Seychelles",2020-11-29,173,0,1.429,NA,0,0,1759.203,0,14.527,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,98340,208.354,36.2,8.606,5.586,26382.287,1.1,242.648,10.55,7.1,35.7,NA,3.6,73.4,0.797
"181","SYR","Asia","Syria",2020-11-29,7715,80,80.143,409,5,5.286,440.841,4.571,4.579,23.371,0.286,0.302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,17500657,NA,21.7,NA,2.577,NA,NA,376.264,NA,NA,NA,70.598,1.5,72.7,0.536
"182","TCA","North America","Turks and Caicos Islands",2020-11-29,748,0,1.143,6,0,0,19319.18,0,29.517,154.967,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,38718,37.312,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80.22,NA
"183","TCD","Africa","Chad",2020-11-29,1663,2,4.286,101,0,0,101.243,0.122,0.261,6.149,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,16425859,11.833,16.7,2.486,1.446,1768.153,38.4,280.995,6.1,NA,NA,5.818,NA,54.24,0.404
"184","TGO","Africa","Togo",2020-11-29,2946,20,16.714,64,0,0,355.851,2.416,2.019,7.731,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",49.07,8278737,143.366,19.4,2.839,1.525,1429.813,49.2,280.033,6.15,0.9,14.2,10.475,0.7,61.04,0.503
"185","THA","Asia","Thailand",2020-11-29,3977,11,9.143,60,0,0,56.977,0.158,0.131,0.86,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,69799978,135.132,40.1,11.373,6.89,16277.671,0.1,109.861,7.04,1.9,38.8,90.67,2.1,77.15,0.755
"186","TJK","Asia","Tajikistan",2020-11-29,12118,36,37.714,86,0,0,1270.545,3.775,3.954,9.017,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,9537642,64.281,23.3,3.466,2.155,2896.913,4.8,427.698,7.11,NA,NA,72.704,4.8,71.1,0.65
"187","TLS","Asia","Timor",2020-11-29,30,0,0,NA,0,0,22.754,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,1318442,87.176,18,3.556,1.897,6570.102,30.3,335.346,6.86,6.3,78.1,28.178,5.9,69.5,0.625
"188","TTO","North America","Trinidad and Tobago",2020-11-29,6630,44,43.714,118,0,0.429,4737.437,31.44,31.236,84.316,0,0.306,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,1399491,266.886,36.2,10.014,5.819,28763.071,NA,228.467,10.97,NA,NA,89.443,3,73.51,0.784
"189","TUN","Africa","Tunisia",2020-11-29,94980,1210,1072.714,3153,47,57.286,8036.473,102.381,90.765,266.782,3.977,4.847,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,11818618,74.228,32.7,8.001,5.075,10849.297,2,318.991,8.52,1.1,65.8,78.687,2.3,76.7,0.735
"190","TUR","Asia","Turkey",2020-11-29,487912,6714,6729.571,13373,182,164.857,5785.124,79.607,79.792,158.562,2.158,1.955,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,84339067,104.914,31.6,8.153,5.061,25129.341,0.2,171.285,12.13,14.1,41.1,NA,2.81,77.69,0.791
"191","TWN","Asia","Taiwan",2020-11-29,651,3,4.857,7,0,0,27.334,0.126,0.204,0.294,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,23816775,NA,42.2,NA,8.353,NA,NA,103.957,NA,NA,NA,NA,NA,80.46,NA
"192","TZA","Africa","Tanzania",2020-11-29,509,0,0,21,0,0,8.521,0,0,0.352,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,59734213,64.699,17.7,3.108,1.874,2683.304,49.1,217.288,5.75,3.3,26.7,47.953,0.7,65.46,0.538
"193","UGA","Africa","Uganda",2020-11-29,19944,356,325.286,201,4,4.714,436.02,7.783,7.111,4.394,0.087,0.103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,45741000,213.759,16.4,2.168,1.308,1697.707,41.6,213.333,2.5,3.4,16.7,21.222,0.5,63.37,0.516
"194","UKR","Europe","Ukraine",2020-11-29,693407,0,11534.571,11909,0,156.571,15855.189,0,263.745,272.307,0,3.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,43733759,77.39,41.4,16.462,11.133,7894.393,0.1,539.849,7.11,13.5,47.4,NA,8.8,72.06,0.751
"195","URY","South America","Uruguay",2020-11-29,5511,208,135.286,75,1,0.857,1586.48,59.878,38.945,21.591,0.288,0.247,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,3473727,19.751,35.6,14.655,10.361,20551.409,0.1,160.708,6.93,14,19.9,NA,2.8,77.91,0.804
"196","USA","North America","United States",2020-11-29,13246651,154893,165316.143,266063,1204,1452,40019.774,467.951,499.441,803.809,3.637,4.387,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,331002647,35.608,38.3,15.413,9.732,54225.446,1.2,151.089,10.79,19.1,24.6,NA,2.77,78.86,0.924
"197","UZB","Asia","Uzbekistan",2020-11-29,72409,0,161.286,607,0,0.571,2163.452,0,4.819,18.136,0,0.017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,33469199,76.134,28.2,4.469,2.873,6253.104,NA,724.417,7.57,1.3,24.7,NA,4,71.72,0.71
"198","VAT","Europe","Vatican",2020-11-29,26,0,0,NA,0,0,32138.443,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,809,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.12,NA
"199","VCT","North America","Saint Vincent and the Grenadines",2020-11-29,85,0,0.143,NA,0,0,766.132,0,1.288,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,110947,281.787,31.8,7.724,4.832,10727.146,NA,252.675,11.62,NA,NA,NA,2.6,72.53,0.723
"200","VEN","South America","Venezuela",2020-11-29,101524,309,358.143,888,4,3.143,3570.27,10.867,12.595,31.228,0.141,0.111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,28435943,36.253,29,6.614,3.915,16745.022,NA,204.85,6.47,NA,NA,NA,0.8,72.06,0.761
"201","VGB","North America","British Virgin Islands",2020-11-29,72,0,0,1,0,0,2381.189,0,0,33.072,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,30237,207.973,NA,NA,NA,NA,NA,NA,13.67,NA,NA,NA,NA,79.07,NA
"202","VIR","North America","United States Virgin Islands",2020-11-29,1538,17,6.714,23,0,0,14728.556,162.799,64.299,220.258,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,104423,306.48,42.2,18.601,10.799,NA,NA,273.67,12.26,NA,NA,NA,NA,80.58,NA
"203","VNM","Asia","Vietnam",2020-11-29,1341,2,5,35,0,0,13.777,0.021,0.051,0.36,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,97338583,308.127,32.6,7.15,4.718,6171.884,2,245.465,6,1,45.9,85.847,2.6,75.4,0.694
"204","VUT","Oceania","Vanuatu",2020-11-29,1,0,0,NA,0,0,3.256,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,307150,22.662,23.1,4.394,2.62,2921.909,13.2,546.3,12.02,2.8,34.5,25.209,NA,70.47,0.603
"205","WLF","Oceania","Wallis and Futuna",2020-11-29,3,0,0.143,NA,0,0,266.762,0,12.703,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,11246,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79.94,NA
"206","OWID_KOS","Europe","Kosovo",2020-11-29,38431,639,691.857,989,14,12.143,19883.856,330.613,357.961,511.7,7.243,6.283,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,1932774,168.155,NA,NA,NA,9795.834,0.6,NA,NA,NA,NA,NA,NA,NA,NA
"207","YEM","Asia","Yemen",2020-11-29,2160,12,9.571,615,1,1,72.42,0.402,0.321,20.62,0.034,0.034,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,29825968,53.508,20.3,2.922,1.583,1479.147,18.8,495.003,5.35,7.6,29.2,49.542,0.7,66.12,0.452
"208","ZAF","Africa","South Africa",2020-11-29,785139,3198,2818.571,21439,61,84.857,13238.178,53.921,47.524,361.482,1.029,1.431,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,59308690,46.754,27.3,5.344,3.053,12294.876,18.9,200.38,5.52,8.1,33.2,43.993,2.32,64.13,0.699
"209","ZMB","Africa","Zambia",2020-11-29,17589,20,27.857,357,0,0.143,956.758,1.088,1.515,19.419,0,0.008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,18383956,22.995,17.7,2.48,1.542,3689.251,57.5,234.499,3.94,3.1,24.7,13.938,2,63.89,0.588
"210","ZWE","Africa","Zimbabwe",2020-11-29,9822,108,92.857,275,0,1.429,660.839,7.266,6.248,18.502,0,0.096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,14862927,42.729,19.6,2.822,1.882,1899.775,21.4,307.846,1.82,1.6,30.7,36.791,1.7,61.49,0.535
"211","OWID_WRL","","World",2020-11-29,62271031,552296,568870,1453531,9189,10140,7988.793,70.854,72.981,186.474,1.179,1.301,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,7794798729,58.045,30.9,8.696,5.355,15469.207,10,233.07,8.51,6.434,34.635,60.13,2.705,72.58,NA
"212","","","International",2020-11-29,696,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
