"","date","pos","artistName","no","color"
"2155",2020-08-03,5,"         clipping.",152,"#D9D9D9"
"2156",2020-08-03,6,"            Bedoes",143,"#FDB462"
"2157",2020-08-03,7,"     Billie Eilish",119,"#BC80BD"
"2158",2020-08-03,8,"        Charli XCX",119,"#FCCDE5"
"2159",2020-08-03,9,"    Dorian Electra",118,"#FB8072"
"2160",2020-08-03,10,"       Quebonafide",97,"#BC80BD"
"2161",2020-08-04,1,"       Oliver Tree",318,"#80B1D3"
"2162",2020-08-04,2,"        The Weeknd",228,"#80B1D3"
"2163",2020-08-04,3,"     TUZZA Globale",214,"#BC80BD"
"2164",2020-08-04,4,"           PRO8L3M",192,"#FDB462"
"2165",2020-08-04,5,"         clipping.",152,"#D9D9D9"
"2166",2020-08-04,6,"            Bedoes",143,"#FDB462"
"2167",2020-08-04,7,"     Billie Eilish",119,"#BC80BD"
"2168",2020-08-04,8,"        Charli XCX",119,"#FCCDE5"
"2169",2020-08-04,9,"    Dorian Electra",118,"#FB8072"
"2170",2020-08-04,10,"       Quebonafide",97,"#BC80BD"
"2171",2020-08-05,1,"       Oliver Tree",323,"#80B1D3"
"2172",2020-08-05,2,"        The Weeknd",228,"#80B1D3"
"2173",2020-08-05,3,"     TUZZA Globale",214,"#BC80BD"
"2174",2020-08-05,4,"           PRO8L3M",192,"#FDB462"
"2175",2020-08-05,5,"         clipping.",152,"#D9D9D9"
"2176",2020-08-05,6,"            Bedoes",143,"#FDB462"
"2177",2020-08-05,7,"     Billie Eilish",119,"#BC80BD"
"2178",2020-08-05,8,"        Charli XCX",119,"#FCCDE5"
"2179",2020-08-05,9,"    Dorian Electra",118,"#FB8072"
"2180",2020-08-05,10,"       Quebonafide",97,"#BC80BD"
"2181",2020-08-06,1,"       Oliver Tree",331,"#80B1D3"
"2182",2020-08-06,2,"        The Weeknd",228,"#80B1D3"
"2183",2020-08-06,3,"     TUZZA Globale",214,"#BC80BD"
"2184",2020-08-06,4,"           PRO8L3M",192,"#FDB462"
"2185",2020-08-06,5,"         clipping.",152,"#D9D9D9"
"2186",2020-08-06,6,"            Bedoes",143,"#FDB462"
"2187",2020-08-06,7,"     Billie Eilish",119,"#BC80BD"
"2188",2020-08-06,8,"        Charli XCX",119,"#FCCDE5"
"2189",2020-08-06,9,"    Dorian Electra",118,"#FB8072"
"2190",2020-08-06,10,"       Quebonafide",97,"#BC80BD"
"2191",2020-08-07,1,"       Oliver Tree",346,"#80B1D3"
"2192",2020-08-07,2,"        The Weeknd",228,"#80B1D3"
"2193",2020-08-07,3,"     TUZZA Globale",215,"#BC80BD"
"2194",2020-08-07,4,"           PRO8L3M",192,"#FDB462"
"2195",2020-08-07,5,"         clipping.",152,"#D9D9D9"
"2196",2020-08-07,6,"            Bedoes",143,"#FDB462"
"2197",2020-08-07,7,"     Billie Eilish",119,"#BC80BD"
"2198",2020-08-07,8,"        Charli XCX",119,"#FCCDE5"
"2199",2020-08-07,9,"    Dorian Electra",118,"#FB8072"
"2200",2020-08-07,10,"       Quebonafide",97,"#BC80BD"
"2201",2020-08-08,1,"       Oliver Tree",346,"#80B1D3"
"2202",2020-08-08,2,"        The Weeknd",228,"#80B1D3"
"2203",2020-08-08,3,"     TUZZA Globale",215,"#BC80BD"
"2204",2020-08-08,4,"           PRO8L3M",192,"#FDB462"
"2205",2020-08-08,5,"         clipping.",152,"#D9D9D9"
"2206",2020-08-08,6,"            Bedoes",143,"#FDB462"
"2207",2020-08-08,7,"     Billie Eilish",119,"#BC80BD"
"2208",2020-08-08,8,"        Charli XCX",119,"#FCCDE5"
"2209",2020-08-08,9,"    Dorian Electra",118,"#FB8072"
"2210",2020-08-08,10,"       Quebonafide",97,"#BC80BD"
"2211",2020-08-09,1,"       Oliver Tree",350,"#80B1D3"
"2212",2020-08-09,2,"        The Weeknd",228,"#80B1D3"
"2213",2020-08-09,3,"     TUZZA Globale",221,"#BC80BD"
"2214",2020-08-09,4,"           PRO8L3M",192,"#FDB462"
"2215",2020-08-09,5,"         clipping.",152,"#D9D9D9"
"2216",2020-08-09,6,"            Bedoes",143,"#FDB462"
"2217",2020-08-09,7,"     Billie Eilish",119,"#BC80BD"
"2218",2020-08-09,8,"        Charli XCX",119,"#FCCDE5"
"2219",2020-08-09,9,"    Dorian Electra",118,"#FB8072"
"2220",2020-08-09,10,"       Quebonafide",97,"#BC80BD"
"2221",2020-08-10,1,"       Oliver Tree",365,"#80B1D3"
"2222",2020-08-10,2,"        The Weeknd",228,"#80B1D3"
"2223",2020-08-10,3,"     TUZZA Globale",221,"#BC80BD"
"2224",2020-08-10,4,"           PRO8L3M",192,"#FDB462"
"2225",2020-08-10,5,"         clipping.",152,"#D9D9D9"
"2226",2020-08-10,6,"            Bedoes",143,"#FDB462"
"2227",2020-08-10,7,"     Billie Eilish",119,"#BC80BD"
"2228",2020-08-10,8,"        Charli XCX",119,"#FCCDE5"
"2229",2020-08-10,9,"    Dorian Electra",118,"#FB8072"
"2230",2020-08-10,10,"       Quebonafide",97,"#BC80BD"
"2231",2020-08-11,1,"       Oliver Tree",365,"#80B1D3"
"2232",2020-08-11,2,"        The Weeknd",228,"#80B1D3"
"2233",2020-08-11,3,"     TUZZA Globale",221,"#BC80BD"
"2234",2020-08-11,4,"           PRO8L3M",192,"#FDB462"
"2235",2020-08-11,5,"         clipping.",156,"#D9D9D9"
"2236",2020-08-11,6,"            Bedoes",143,"#FDB462"
"2237",2020-08-11,7,"     Billie Eilish",119,"#BC80BD"
"2238",2020-08-11,8,"        Charli XCX",119,"#FCCDE5"
"2239",2020-08-11,9,"    Dorian Electra",118,"#FB8072"
"2240",2020-08-11,10,"       Quebonafide",97,"#BC80BD"
"2241",2020-08-12,1,"       Oliver Tree",366,"#80B1D3"
"2242",2020-08-12,2,"        The Weeknd",228,"#80B1D3"
"2243",2020-08-12,3,"     TUZZA Globale",222,"#BC80BD"
"2244",2020-08-12,4,"           PRO8L3M",192,"#FDB462"
"2245",2020-08-12,5,"         clipping.",156,"#D9D9D9"
"2246",2020-08-12,6,"            Bedoes",143,"#FDB462"
"2247",2020-08-12,7,"     Billie Eilish",119,"#BC80BD"
"2248",2020-08-12,8,"        Charli XCX",119,"#FCCDE5"
"2249",2020-08-12,9,"    Dorian Electra",118,"#FB8072"
"2250",2020-08-12,10,"       Quebonafide",97,"#BC80BD"
"2251",2020-08-13,1,"       Oliver Tree",368,"#80B1D3"
"2252",2020-08-13,2,"        The Weeknd",228,"#80B1D3"
"2253",2020-08-13,3,"     TUZZA Globale",222,"#BC80BD"
"2254",2020-08-13,4,"           PRO8L3M",192,"#FDB462"
"2255",2020-08-13,5,"         clipping.",156,"#D9D9D9"
"2256",2020-08-13,6,"            Bedoes",143,"#FDB462"
"2257",2020-08-13,7,"     Billie Eilish",119,"#BC80BD"
"2258",2020-08-13,8,"        Charli XCX",119,"#FCCDE5"
"2259",2020-08-13,9,"    Dorian Electra",118,"#FB8072"
"2260",2020-08-13,10,"       Quebonafide",97,"#BC80BD"
"2261",2020-08-14,1,"       Oliver Tree",368,"#80B1D3"
"2262",2020-08-14,2,"        The Weeknd",228,"#80B1D3"
"2263",2020-08-14,3,"     TUZZA Globale",222,"#BC80BD"
"2264",2020-08-14,4,"           PRO8L3M",192,"#FDB462"
"2265",2020-08-14,5,"         clipping.",156,"#D9D9D9"
"2266",2020-08-14,6,"            Bedoes",143,"#FDB462"
"2267",2020-08-14,7,"     Billie Eilish",119,"#BC80BD"
"2268",2020-08-14,8,"        Charli XCX",119,"#FCCDE5"
"2269",2020-08-14,9,"    Dorian Electra",118,"#FB8072"
"2270",2020-08-14,10,"       Quebonafide",97,"#BC80BD"
"2271",2020-08-15,1,"       Oliver Tree",368,"#80B1D3"
"2272",2020-08-15,2,"        The Weeknd",228,"#80B1D3"
"2273",2020-08-15,3,"     TUZZA Globale",222,"#BC80BD"
"2274",2020-08-15,4,"           PRO8L3M",192,"#FDB462"
"2275",2020-08-15,5,"         clipping.",156,"#D9D9D9"
"2276",2020-08-15,6,"            Bedoes",143,"#FDB462"
"2277",2020-08-15,7,"     Billie Eilish",119,"#BC80BD"
"2278",2020-08-15,8,"        Charli XCX",119,"#FCCDE5"
