"","endTime","artistName","trackName","msPlayed","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","type","id","uri","track_href","analysis_url","duration_ms","time_signature"
"365","2020-12-30 22:53","Eartheater","Burning Feather",80618,0.259,0.51,6,-11.829,0,0.103,0.85,0.0101,0.179,0.0784,115.726,"audio_features","50zqevrYeIGu0jWvHoKQTJ","spotify:track:50zqevrYeIGu0jWvHoKQTJ","https://api.spotify.com/v1/tracks/50zqevrYeIGu0jWvHoKQTJ","https://api.spotify.com/v1/audio-analysis/50zqevrYeIGu0jWvHoKQTJ",85767,3
"366","2020-12-30 22:56","Eartheater","How To Fight",211295,0.404,0.249,7,-15.881,1,0.0472,0.702,0.000911,0.171,0.284,120.221,"audio_features","0WhOnqFjbvpwt3wU0L5v04","spotify:track:0WhOnqFjbvpwt3wU0L5v04","https://api.spotify.com/v1/tracks/0WhOnqFjbvpwt3wU0L5v04","https://api.spotify.com/v1/audio-analysis/0WhOnqFjbvpwt3wU0L5v04",211295,4
"367","2020-12-30 22:58","Eartheater","Kiss of The Phoenix",92320,0.212,0.488,8,-13.145,1,0.154,0.677,0.842,0.111,0.125,73.136,"audio_features","1NIyrsoypIQj7QZVbKCBl7","spotify:track:1NIyrsoypIQj7QZVbKCBl7","https://api.spotify.com/v1/tracks/1NIyrsoypIQj7QZVbKCBl7","https://api.spotify.com/v1/audio-analysis/1NIyrsoypIQj7QZVbKCBl7",183321,4
"368","2020-12-30 22:59","Eartheater","Volcano",75007,0.272,0.534,11,-11.215,0,0.0402,0.0609,0.0502,0.0676,0.156,141.181,"audio_features","4QGfuME7RypaASEUVvnEby","spotify:track:4QGfuME7RypaASEUVvnEby","https://api.spotify.com/v1/tracks/4QGfuME7RypaASEUVvnEby","https://api.spotify.com/v1/audio-analysis/4QGfuME7RypaASEUVvnEby",275127,4
"369","2020-12-30 23:03","Coals","pearls",237562,0.588,0.485,1,-13.423,0,0.0517,0.332,0.139,0.39,0.535,159.992,"audio_features","34rfOj2cqp59MosFK3XsUc","spotify:track:34rfOj2cqp59MosFK3XsUc","https://api.spotify.com/v1/tracks/34rfOj2cqp59MosFK3XsUc","https://api.spotify.com/v1/audio-analysis/34rfOj2cqp59MosFK3XsUc",237562,4
"370","2020-12-30 23:05","Coals","bitter cold",147989,0.568,0.406,1,-10.803,1,0.139,0.4,0.0522,0.186,0.483,145.568,"audio_features","25JuJURmzdBGePvwznc6uS","spotify:track:25JuJURmzdBGePvwznc6uS","https://api.spotify.com/v1/tracks/25JuJURmzdBGePvwznc6uS","https://api.spotify.com/v1/audio-analysis/25JuJURmzdBGePvwznc6uS",147989,3
"371","2020-12-30 23:06","Coals","sleepwalker",11909,0.685,0.466,8,-9.07,1,0.0271,0.0986,0.00291,0.0862,0.298,95.99,"audio_features","2Y0UZPGlJZMxVLbL9mGyvQ","spotify:track:2Y0UZPGlJZMxVLbL9mGyvQ","https://api.spotify.com/v1/tracks/2Y0UZPGlJZMxVLbL9mGyvQ","https://api.spotify.com/v1/audio-analysis/2Y0UZPGlJZMxVLbL9mGyvQ",206718,4
"372","2020-12-30 23:09","Phoebe Bridgers","Motion Sickness",229760,0.652,0.545,1,-9.021,1,0.0358,0.774,0.0428,0.0847,0.626,107.019,"audio_features","6LxcPUqx6noURdA5qc4BAT","spotify:track:6LxcPUqx6noURdA5qc4BAT","https://api.spotify.com/v1/tracks/6LxcPUqx6noURdA5qc4BAT","https://api.spotify.com/v1/audio-analysis/6LxcPUqx6noURdA5qc4BAT",229760,4
"373","2020-12-30 23:13","Phoebe Bridgers","Kyoto",184524,0.599,0.742,11,-6.886,1,0.0419,0.0488,0.32,0.0916,0.493,131.014,"audio_features","49UDOG8DoBajXTJSTqfRMg","spotify:track:49UDOG8DoBajXTJSTqfRMg","https://api.spotify.com/v1/tracks/49UDOG8DoBajXTJSTqfRMg","https://api.spotify.com/v1/audio-analysis/49UDOG8DoBajXTJSTqfRMg",184524,4
"374","2020-12-30 23:14","Phoebe Bridgers","Garden Song",95158,0.528,0.273,0,-16.623,1,0.132,0.864,0.00617,0.111,0.158,98.311,"audio_features","5uQRmdIqyMmKPWJcot4UmV","spotify:track:5uQRmdIqyMmKPWJcot4UmV","https://api.spotify.com/v1/tracks/5uQRmdIqyMmKPWJcot4UmV","https://api.spotify.com/v1/audio-analysis/5uQRmdIqyMmKPWJcot4UmV",219682,4
"375","2020-12-31 12:18","Vance Joy","Riptide",107949,0.484,0.731,1,-6.694,1,0.0379,0.431,0,0.151,0.51,101.654,"audio_features","3JvrhDOgAt6p7K8mDyZwRd","spotify:track:3JvrhDOgAt6p7K8mDyZwRd","https://api.spotify.com/v1/tracks/3JvrhDOgAt6p7K8mDyZwRd","https://api.spotify.com/v1/audio-analysis/3JvrhDOgAt6p7K8mDyZwRd",204280,4
"376","2020-12-31 12:22","Fiona Apple","I Want You To Love Me",237713,0.528,0.504,9,-8.821,0,0.09,0.559,0.0414,0.0936,0.712,141.369,"audio_features","73SBAGI4fPFm4VkB3NjXq8","spotify:track:73SBAGI4fPFm4VkB3NjXq8","https://api.spotify.com/v1/tracks/73SBAGI4fPFm4VkB3NjXq8","https://api.spotify.com/v1/audio-analysis/73SBAGI4fPFm4VkB3NjXq8",237713,3
"377","2020-12-31 12:23","Fiona Apple","Pale September",33866,0.264,0.191,1,-16.879,1,0.03,0.902,0.0398,0.103,0.16,170.208,"audio_features","0CwdS94pdZ9C5tT5g7vaWS","spotify:track:0CwdS94pdZ9C5tT5g7vaWS","https://api.spotify.com/v1/tracks/0CwdS94pdZ9C5tT5g7vaWS","https://api.spotify.com/v1/audio-analysis/0CwdS94pdZ9C5tT5g7vaWS",350933,3
